created_at,id_str,text,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,hashtags,user_mentions,user_mentions_ids,user_id_str,user_screen_name,user_location,user_description,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_verified,created_at_dt,polarity
Tue Jul 27 23:59:54 +0000 2021,1420172124077977600,The olympics got everyone motivated to be a super athlete all of a sudden 🤣😂,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,,en,,,,1249770598663774213,Little_Brrri,"California, USA","26 ♓️ I like to lift heavy & meditate #CFLVStrong🏋🏼‍♀️🧘🏼‍♀️ thick thighs & hzl eyes 🇲🇽 manifesting & living out my best life, DND 🛩🌞🏝🌎📍",50,56,0,Mon Apr 13 18:45:35 +0000 2020,False,2021-07-27 23:59:54,0.16666666666666666
Tue Jul 27 23:59:54 +0000 2021,1420172124690468866,"RT @MichaelJStern1: Why isn't the harrowing testimony from the January 6th Commission the lead headline everywhere?

In many online news si…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,22,0,False,False,,en,,MichaelJStern1,1075865638642597893,1075865638642597893,MichaelJStern1,"Los Angeles, CA",@USAToday opinion columnist.  Former federal prosecutor.  #Resist  #VoteBlue 🌊  #LGBT  🏳️‍🌈 #WearAMask  Views are my own ... but they should be everyone's.,17498,10747,105,Thu Dec 20 21:28:51 +0000 2018,True,2021-07-27 23:59:54,0.5
Tue Jul 27 23:59:54 +0000 2021,1420172125353222148,RT @mitzijonelle: Hey @Twitter! Do you think we could get one of these tabs for news and science about the climate crisis? We have one for…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,118,0,False,False,,en,,mitzijonelle;Twitter,595446999;783214,950649363033927680,migginbot,"London, England","Anxious about the #ClimateEmergency?   Watch this: ""XR Heading for extinction and what to do about it""  https://t.co/uPhp2iQJgg",62,234,0,Tue Jan 09 08:44:05 +0000 2018,False,2021-07-27 23:59:54,0.0
Tue Jul 27 23:59:54 +0000 2021,1420172125722353669,"RT @m_older: Imagine if, instead of the olympics broadcast being a hugely expensive concession to one massive network that then jealously g…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,8,0,False,False,,en,,m_older,48254999,1858068037,JMHardinBoston,"Boston/Mattapan, MA",#Transbian. Replies often limited due to haters & covidioits. I don't follow back everyone. NO LISTS. #AccountabilityMatters #BlackLivesMatter,946,1057,6,Thu Sep 12 17:33:44 +0000 2013,False,2021-07-27 23:59:54,-0.25
Tue Jul 27 23:59:54 +0000 2021,1420172124543623170,"RT @Jaeminisluv: Speed skater Na Jaemin for Winter Olympics
#JAEMIN #재민 https://t.co/JJ1b4msey6","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4162,0,False,False,False,en,JAEMIN;재민,Jaeminisluv,1317835301415395328,1356559968543993856,MISS4MANTHA,kpop,non-showbiz girlfriend | #MULTI,375,433,0,Tue Feb 02 11:08:07 +0000 2021,False,2021-07-27 23:59:54,0.0
Tue Jul 27 23:59:55 +0000 2021,1420172126540075012,"RT @Jaeminisluv: Speed skater Na Jaemin for Winter Olympics
#JAEMIN #재민 https://t.co/JJ1b4msey6","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,4162,0,False,False,False,en,JAEMIN;재민,Jaeminisluv,1317835301415395328,1270261755273334784,naa_jaeminna,nctzen💚 my💜,Felicity-🐰,156,628,0,Tue Jun 09 07:49:51 +0000 2020,False,2021-07-27 23:59:55,0.0
Tue Jul 27 23:59:55 +0000 2021,1420172129098780674,@SportsCenter It’s the freaking Olympics. You go to compete. Put the nerves aside and compete for your country. Don… https://t.co/GRhiUwed2d,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.4200348565835776e+18,1420034856583577600,26257166.0,26257166,SportsCenter,,,,,False,0,1,False,False,,en,,SportsCenter,26257166,1155594583709028354,KingChiefFan15,,Super Bowl LIV Champs. Nuff said. 🏆,158,475,2,Sun Jul 28 21:43:13 +0000 2019,False,2021-07-27 23:59:55,0.0
Tue Jul 27 23:59:55 +0000 2021,1420172129396346887,RT @AWill_35: “Can’t be the 🐐 and sit out of the Olympics.” https://t.co/tavLhS9gkQ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,5,0,False,False,False,en,,AWill_35,99379557,416026924,Mila_Infanti29,"Scottsdale, AZ",KC➡️AZ,942,902,3,Sat Nov 19 04:12:22 +0000 2011,False,2021-07-27 23:59:55,0.0
Tue Jul 27 23:59:55 +0000 2021,1420172129581023238,The important lessons to take from here about gymnastics and the American perception of “greatness” have nothing to… https://t.co/7BN5Hwk66s,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,,,,189169454,sarahkarlene,"Richmond, VA","I'm pissed off, funny, and warm I'm a good man in a storm And when the fall is torrential, I'll recall",107,318,4,Fri Sep 10 15:22:02 +0000 2010,False,2021-07-27 23:59:55,0.2
Tue Jul 27 23:59:56 +0000 2021,1420172133628628998,What the world needs: year-round #Olympics https://t.co/igY62b6m7S,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,Olympics,,,1295746284855480321,SeanSki0,,"Dreamer, blogger, and visionary. Listen, share, and grow. Climate Activist. #anxiety #vegan #ClimateJusticeNow #HSP",20,125,0,Tue Aug 18 15:36:16 +0000 2020,False,2021-07-27 23:59:56,0.0
Tue Jul 27 23:59:56 +0000 2021,1420172133750149125,"RT @micahcohen: Women gymnasts start very young and specialize very early.

It's been a recipe for abuse, isolation and 
many more problems…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,33,0,False,False,,en,,micahcohen,137512415,109014721,peterhbegley,"Paris, France","I paint and sculpt in Paris, France.",92,77,0,Wed Jan 27 18:12:22 +0000 2010,False,2021-07-27 23:59:56,0.315
Tue Jul 27 23:59:56 +0000 2021,1420172131761938432,honestly all the kinda dated/wildly mismatched music they're playing between events/rounds at the olympics is so go… https://t.co/dxiACeIpRw,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,52,False,False,,en,,,,18148213,courtwhip,Melbourne,Music & Culture Editor @pedestriandaily ✨ she/her,4943,1643,67,Mon Dec 15 22:08:42 +0000 2008,True,2021-07-27 23:59:56,0.6
Tue Jul 27 23:59:56 +0000 2021,1420172132617687049,Still find it weird I can't watch all of the Olympics on BBC 'cos a bloody US company won the European rights. I me… https://t.co/C4gSfTSdBB,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,,en,,,,168845490,scanky_chops,UK,,315,506,20,Tue Jul 20 23:03:30 +0000 2010,False,2021-07-27 23:59:56,-0.43333333333333335
Tue Jul 27 23:59:56 +0000 2021,1420172133146284033,RT @nytimes: Simone Biles left the women’s gymnastics final because she was afraid she would be injured if she continued in a rattled state…,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,1623,0,False,False,,en,,nytimes,807095,1243927785506312192,SShebop,,"Ecstatically married to the love of my life; voracious reader; lover of life, people & knowledge. I Am #TheResistance",3466,4818,1,Sat Mar 28 15:48:11 +0000 2020,False,2021-07-27 23:59:56,-0.19999999999999998
Tue Jul 27 23:59:57 +0000 2021,1420172135155240963,"HaVioo Imagined playing soccer at Facebook? 
#Shorts #Olympics #TikTok https://t.co/dWGVRj8EWI","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,False,en,Shorts;Olympics;TikTok,,,1307779784332771331,ViooWorld,"Nova Iorque, USA",📚The largest library of transparent/authentic college life & internship experience videos from students you can relate,24,20,0,Sun Sep 20 20:33:07 +0000 2020,False,2021-07-27 23:59:57,0.0
Tue Jul 27 23:59:57 +0000 2021,1420172136690356225,RT @CaniacChic: Y’all knew you were tempting fate leaving 2020 on the olympics logo….that year was cursed I tell you,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,,en,,CaniacChic,483586899,3345690436,latelykatie_,"Raleigh, NC","She/her, 21, NCSU class of 2022, fully vaccinated, disappointed in the Canes

//long story short, I survived//",46,328,0,Thu Jun 25 16:28:50 +0000 2015,False,2021-07-27 23:59:57,0.0
Tue Jul 27 23:59:57 +0000 2021,1420172136849854464,"RT @PGATOUR: ""To be able to represent Japan and play in the home country, in a home Olympics, this is probably the first and last time I'll…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2322,0,False,False,,en,,PGATOUR,14063426,2668667734,larc1701,mexico,"LIC. EN CONTADURIA, UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO, ¡¡¡ UNAM !!! ORGOLLOSAMENTE PUMA.",247,871,0,Thu Jul 03 17:40:30 +0000 2014,False,2021-07-27 23:59:57,0.25
Tue Jul 27 23:59:57 +0000 2021,1420172136975527937,"RT @Matt_Alt: Was bound to happen with courses running through Odaiba: commentators struggle with pronunciation of ""Gundam."" Talk about an…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,29,0,False,False,,en,,Matt_Alt,15816424,2820006996,Modkai2,Malaysia,"Malaysian Scale Modeler and occasional gamer, #modelerkai for model WIP | Expect alot of random Japan related retweets |  BM/EN/JP(初心者)",743,781,12,Fri Sep 19 14:14:09 +0000 2014,False,2021-07-27 23:59:57,0.0
Tue Jul 27 23:59:57 +0000 2021,1420172137843892226,"RT @USATODAY: The Filipino Olympic athlete not only won the nation's first-ever gold medal but also two houses and $660,000. https://t.co/E…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,23,0,False,False,,en,,USATODAY,15754281,22945733,BalanceMan,Tivoli Gardens,Do All The Good You Can To All The People You Can!,614,501,12,Thu Mar 05 17:13:44 +0000 2009,False,2021-07-27 23:59:57,0.0
Tue Jul 27 23:59:57 +0000 2021,1420172137961123841,"RT @PhilstarNews: We are proud of you, Elreen! 🏋🏽‍♀️🇵🇭

At her Olympics debut, weightlifter Elreen Ando finishes 7th in the Women's 64kg at…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,786,0,False,False,,en,,PhilstarNews,55118669,52607709,i_am_aela,România,fangirl. geek. mom. nurse. teacher.,200,958,1,Wed Jul 01 02:39:25 +0000 2009,False,2021-07-27 23:59:57,1.0
Tue Jul 27 23:59:57 +0000 2021,1420172134563913728,RT @hoIydemi: how has family not realized i'm gay I literally just scroll through demi lovato pics while we're watching the olympics bye,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,7,0,False,False,,en,,hoIydemi,704397528,1148071576157478912,Osnapitzaprill,huge lovatic :)),new account - 22💫 - NY|MIA|📍Gainesville,95,218,0,Mon Jul 08 03:29:28 +0000 2019,False,2021-07-27 23:59:57,0.4166666666666667
Tue Jul 27 23:59:58 +0000 2021,1420172138867220489,Going out drinking in your 30’s #Olympics https://t.co/pVcunc6krP,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,1,False,False,False,en,Olympics,,,23919748,Chahee,"Dallas, TX",Golden Girls Stan • HR Realist • Mental Health Advocate • Go Sports • 🏳️‍🌈 (he/him/his) **Views Not Reflective of Past/Present/Future Employers or Orgs**,403,850,2,Thu Mar 12 08:10:48 +0000 2009,False,2021-07-27 23:59:58,0.0
Tue Jul 27 23:59:58 +0000 2021,1420172140167393284,"RT @JJK_Times: Jungkook is mentioned in a K media article on Shin Yoobin, 16-year-old table tennis player who represents S Korea in Tokyo O…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,774,0,False,False,,en,,JJK_Times,1091577619642904576,1408371902050041856,Azaara10,,,6,55,0,Fri Jun 25 10:30:13 +0000 2021,False,2021-07-27 23:59:58,0.0
Tue Jul 27 23:59:58 +0000 2021,1420172140892999685,"RT @hansollieee: aju nice might not get any music show wins years ago but it's the no.1 most streamed song of svt on melon, became a tradem…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1070,0,False,False,,en,,hansollieee,310851484,1116361297216491520,Honey_Angel1004,,(she/her) seventeen | day6 | itzy | treasure | enhypen | the rose,876,853,8,Thu Apr 11 15:24:09 +0000 2019,False,2021-07-27 23:59:58,0.4666666666666666
Tue Jul 27 23:59:58 +0000 2021,1420172142646267905,"RT @BlackAlphaNetw1: In America 🇺🇸 

They'll make EXCUSES about his Mental Health. 

But...They'll disrespect Her's!

And WE all know why!…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,245,0,False,False,,en,,BlackAlphaNetw1,1265504926127607808,1189240120811102213,LeeCody16,,,6,1,0,Tue Oct 29 17:58:59 +0000 2019,False,2021-07-27 23:59:58,-0.125
Tue Jul 27 23:59:59 +0000 2021,1420172146697924609,"RT @NASAExoplanets: If there were an intergalactic Olympics, KELT-9b would win the gold medal🏅 for hottest exoplanet! Then it would promptl…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,132,0,False,False,,en,,NASAExoplanets,17781165,161894615,cristinacoach,WhatsApp +447509733064,WhatsApp +447509733064 /Master Coach/ Presidenta OICP/ Escritora 281 Libros / BestSeller Permanente / Mentora de Escritores/ Experta en Marketing Editorial,59660,60334,1150,Fri Jul 02 02:11:59 +0000 2010,False,2021-07-27 23:59:59,1.0
Tue Jul 27 23:59:59 +0000 2021,1420172146119102469,"RT @Olympics: ""Before the match I can hear the crowd - 'Indonesia! Indonesia!'"" 🇮🇩

When Marcus Gideon steps on to the court, he has the su…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,3970,0,False,False,,en,,Olympics,52422878,1306545066974965760,marchnona,,Fan Account SMTown,1,181,0,Thu Sep 17 10:47:13 +0000 2020,False,2021-07-27 23:59:59,0.0
Tue Jul 27 23:59:59 +0000 2021,1420172146488266755,RT @EvanKirstel: Extremely effective warmup 😂 #Olympics #Tokyo2020 #tuesdaymotivations https://t.co/4887wWpA79,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,156,0,False,False,False,en,Olympics;Tokyo2020;tuesdaymotivations,EvanKirstel,35203319,83593873,Joyfully2,USA,"I'm like a port, connecting & RTing great thoughts, News, Information, Music, Fashion & fun 2 all that seek...Passion for Cooking & History",5831,5526,388,Mon Oct 19 13:01:46 +0000 2009,False,2021-07-27 23:59:59,0.6
Wed Jul 28 23:59:38 +0000 2021,1420534443417210880,Olympic Rugby Women to watch For Pool B #RugbySevens #rugby #olympics #Tokyo2020 https://t.co/5w9OzFf82a,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,2,False,False,False,en,RugbySevens;rugby;olympics;Tokyo2020,,,1192279374,GifttimeRugby,"Baton Rouge, LA","Reporting, broadcasting, filming and promoting rugby for your understanding and enjoyment. #Ruggerlife",1534,1015,34,Mon Feb 18 06:54:24 +0000 2013,False,2021-07-28 23:59:38,0.0
Wed Jul 28 23:59:38 +0000 2021,1420534444155445250,"RT @washingtonpost: In the Olympic team final, Simone Biles planned to perform a 2½-twisting vault, but her mind stalled after just 1½ twis…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3032,0,False,False,,en,,washingtonpost,2467791,831917264848838656,lastofmeeee,She/her,🥴,252,91,2,Wed Feb 15 17:25:07 +0000 2017,False,2021-07-28 23:59:38,0.0
Wed Jul 28 23:59:38 +0000 2021,1420534444176384001,RT @RoyNemer: Richarlison posted a picture on his Instagram along with a few Brazilian players watching the Argentina match at the Olympics…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,968,0,False,False,,en,,RoyNemer,382431601,1718863266,BoatengDuodu,"Takoradi, Ghana",I luv soccer,938,2056,0,Sun Sep 01 12:33:43 +0000 2013,False,2021-07-28 23:59:38,-0.2
Wed Jul 28 23:59:38 +0000 2021,1420534444985774083,RT @twitkocheng: meanwhile at the Olympics https://t.co/OLMTPsv7q4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,22777,0,False,False,False,en,,twitkocheng,1028191299654934528,729809940,BaharErwin,Nowhere,"kau yang menanam, belum tentu kau yang memanen, bisa-bisa kau dipanggil ke Rahmatullah duluan.",262,235,1,Wed Aug 01 02:48:37 +0000 2012,False,2021-07-28 23:59:38,0.0
Wed Jul 28 23:59:39 +0000 2021,1420534447003340800,"Well I was GOING to post the first chapter of the Olympics AU tonight, but it looks like that's probably going to be delayed again.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,1,False,False,,en,,,,2437311954,ChimaAmla,United States,30+ linguistics nerd | Nsfw @ChimaAmlaDING | Cryptid @ChimaCryptid | https://t.co/Oj0wq9y7Gc,293,275,2,Thu Apr 10 17:33:27 +0000 2014,False,2021-07-28 23:59:39,0.25
Wed Jul 28 23:59:39 +0000 2021,1420534450681618432,"RT @thegoalkeeper: .@NBCSportsPR lights up the tote board:

The #USWNT vs. New Zealand #Tokyo2020 #Olympics women’s soccer game on NBCSN (t…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,45,0,False,False,,en,USWNT;Tokyo2020;Olympics,thegoalkeeper;NBCSportsPR,97610758;112477030,1379575228062310402,BabyEarper2021,,She/Her Lesbian Veteran 'Aphrodite made me do it' #E4L Buffy Handmaid's Tale The Chicks USWNT fanatic,38,105,0,Tue Apr 06 23:22:37 +0000 2021,False,2021-07-28 23:59:39,-0.13181818181818183
Wed Jul 28 23:59:39 +0000 2021,1420534449976922117,RT @ciaoloe: #SEUNGKWAN for Tokyo Olympics 🏅 https://t.co/1XumOC9UKs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,21,0,False,False,False,en,SEUNGKWAN,ciaoloe,1002504595019460608,1320703393459941376,deityhoshi,ph // rcbyf !!,she her . . ## 🐱🐯😼🍚   @coupsoonwoo,3803,2983,17,Mon Oct 26 12:26:59 +0000 2020,False,2021-07-28 23:59:39,0.0
Wed Jul 28 23:59:39 +0000 2021,1420534448391479300,RT @sehunward: #SEHUN for Tokyo Olympics 2021 🏹 https://t.co/s8iZCRCryc,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2148,0,False,False,False,en,SEHUN,sehunward,1292392190090518531,2898388244,cleverrr_c,Republic of the Philippines,"forever home= forever exo

                                   still a baekhyun bias for almost 9 years, then all of  the 8 members are my bias wrecker for life.",332,869,2,Thu Nov 13 11:41:31 +0000 2014,False,2021-07-28 23:59:39,0.0
Wed Jul 28 23:59:39 +0000 2021,1420534447225679877,RT @TimJDillon: Amazing https://t.co/vXfQAYI6X3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1227,0,False,False,False,en,,TimJDillon,353422065,1240664244,Questen_Reese,"Oklahoma, USA",former baby. high top loyalist.,709,536,2,Mon Mar 04 06:36:56 +0000 2013,False,2021-07-28 23:59:39,0.6000000000000001
